created_at,entry_id,Temperature,RH,PM2.5,PM10
2025-01-01 20:20:48 +0530,507,,,54.6,77.4
2025-01-01 20:21:10 +0530,508,,,54.0,81.0
2025-01-01 20:21:33 +0530,509,,,54.5,84.2
2025-01-01 20:21:55 +0530,510,,,54.7,79.0
2025-01-01 20:22:18 +0530,511,,,55.8,79.1
2025-01-01 20:22:41 +0530,512,,,54.3,78.1
2025-01-01 20:23:04 +0530,513,,,53.4,77.9
2025-01-01 20:23:27 +0530,514,,,54.7,81.1
2025-01-01 20:23:49 +0530,515,,,53.0,78.0
2025-01-01 20:24:12 +0530,516,,,53.3,76.1
2025-01-01 20:24:34 +0530,517,,,53.2,78.3
2025-01-01 20:24:57 +0530,518,,,53.2,79.1
2025-01-01 20:25:19 +0530,519,,,55.4,82.7
2025-01-01 20:25:42 +0530,520,,,53.8,77.1
2025-01-01 20:26:04 +0530,521,,,53.6,80.2
2025-01-01 20:26:27 +0530,522,,,54.5,80.8
2025-01-01 20:26:49 +0530,523,,,55.4,82.6
2025-01-01 20:27:12 +0530,524,,,53.9,76.4
2025-01-01 20:27:34 +0530,525,,,55.4,78.0
2025-01-01 20:27:57 +0530,526,,,55.1,78.8
2025-01-01 20:28:19 +0530,527,,,54.1,80.1
2025-01-01 20:28:42 +0530,528,,,54.7,80.8
2025-01-01 20:29:04 +0530,529,,,54.4,76.2
2025-01-01 20:29:27 +0530,530,,,53.8,80.1
2025-01-01 20:29:50 +0530,531,,,53.1,78.5
2025-01-01 20:30:12 +0530,532,,,52.8,78.1
2025-01-01 20:30:35 +0530,533,,,53.4,82.3
2025-01-01 20:30:57 +0530,534,,,53.4,81.3
2025-01-01 20:31:22 +0530,535,,,54.6,81.4
